板块,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,所属行业
主板,002392,北京利尔,2010-04-23,"1,190,490,839","1,157,545,296",C 制造业
主板,002393,力生制药,2010-04-23,"308,293,069","300,217,443",C 制造业
主板,002394,联发股份,2010-04-23,"323,700,000","323,389,205",C 制造业
主板,002395,双象股份,2010-04-29,"268,209,000","268,209,000",C 制造业
主板,002396,星网锐捷,2010-06-23,"760,554,372","757,414,731",C 制造业
主板,002397,梦洁股份,2010-04-29,"747,781,443","654,929,310",C 制造业
主板,002398,垒知集团,2010-05-06,"688,279,238","599,740,683",C 制造业
主板,002399,海普瑞,2010-05-06,"1,247,201,704","1,247,201,704",C 制造业
主板,002400,省广集团,2010-05-06,"1,743,337,128","1,726,164,618",L 商务服务
主板,002401,中远海科,2010-05-06,"371,668,440","371,398,485",I 信息技术
主板,002402,和而泰,2010-05-11,"923,389,485","818,478,591",C 制造业
主板,002403,爱仕达,2010-05-11,"340,638,579","297,161,454",C 制造业
主板,002404,嘉欣丝绸,2010-05-11,"560,051,541","455,787,096",C 制造业
主板,002405,四维图新,2010-05-18,"2,370,135,814","2,355,762,401",I 信息技术
主板,002406,远东传动,2010-05-18,"730,225,082","562,171,311",C 制造业
主板,002407,多氟多,2010-05-18,"1,190,432,569","1,080,918,296",C 制造业
主板,002408,齐翔腾达,2010-05-18,"2,843,538,717","2,751,751,309",C 制造业
主板,002409,雅克科技,2010-05-25,"475,927,678","318,522,747",C 制造业
主板,002410,广联达,2010-05-25,"1,651,944,342","1,588,098,784",I 信息技术
主板,002412,汉森制药,2010-05-25,"503,200,000","497,812,000",C 制造业
主板,002413,雷科防务,2010-05-28,"1,319,340,725","1,295,430,497",C 制造业
主板,002414,高德红外,2010-07-16,"4,270,736,108","3,398,612,431",C 制造业
主板,002415,海康威视,2010-05-28,"9,164,871,550","9,046,093,710",C 制造业
主板,002416,爱施德,2010-05-28,"1,239,281,806","1,221,105,923",F 批发零售
主板,002418,康盛股份,2010-06-01,"1,136,400,000","1,136,400,000",C 制造业
主板,002419,天虹股份,2010-06-01,"1,141,256,572","1,141,239,697",F 批发零售
主板,002420,毅昌科技,2010-06-01,"411,290,000","403,867,700",C 制造业
主板,002421,达实智能,2010-06-03,"2,120,581,639","2,036,199,151",I 信息技术
主板,002422,科伦药业,2010-06-03,"1,590,781,208","1,298,556,616",C 制造业
主板,002423,中粮资本,2010-06-03,"2,304,105,575","2,304,105,575",J 金融业
主板,002424,ST百灵,2010-06-03,"1,397,598,400","1,151,877,941",C 制造业
主板,002425,凯撒文化,2010-06-08,"956,665,066","920,185,923",I 信息技术
主板,002426,胜利精密,2010-06-08,"3,402,625,916","3,194,296,760",C 制造业
主板,002427,尤夫股份,2010-06-08,"985,432,777","984,517,986",C 制造业
主板,002428,云南锗业,2010-06-08,"653,120,000","653,007,500",C 制造业
主板,002429,兆驰股份,2010-06-10,"4,526,940,607","4,524,330,393",C 制造业
主板,002430,杭氧股份,2010-06-10,"978,359,676","977,937,726",C 制造业
主板,002431,ST棕榈,2010-06-10,"1,802,404,765","1,802,404,765",E 建筑业
主板,002432,九安医疗,2010-06-10,"466,136,520","465,510,272",C 制造业
主板,002434,万里扬,2010-06-18,"1,312,600,000","1,311,341,050",C 制造业
主板,002436,兴森科技,2010-06-18,"1,699,673,563","1,517,928,556",C 制造业
主板,002437,誉衡药业,2010-06-23,"2,229,868,126","2,102,676,320",C 制造业
主板,002438,江苏神通,2010-06-23,"507,537,461","468,880,667",C 制造业
主板,002439,启明星辰,2010-06-23,"1,211,400,205","728,558,634",I 信息技术
主板,002440,闰土股份,2010-07-06,"1,123,999,905","946,355,003",C 制造业
主板,002441,众业达,2010-07-06,"544,543,609","398,964,279",F 批发零售
主板,002442,龙星科技,2010-07-06,"503,374,202","491,511,283",C 制造业
主板,002443,金洲管道,2010-07-06,"520,535,520","520,535,520",C 制造业
主板,002444,巨星科技,2010-07-13,"1,194,478,182","1,144,526,728",C 制造业
主板,002445,中南文化,2010-07-13,"2,376,607,531","2,366,254,223",C 制造业
主板,002446,盛路通信,2010-07-13,"915,415,724","847,777,296",C 制造业
主板,002448,中原内配,2010-07-16,"588,409,646","580,509,507",C 制造业
主板,002449,国星光电,2010-07-16,"618,477,169","618,477,169",C 制造业
主板,002451,摩恩电气,2010-07-20,"440,670,000","439,149,000",C 制造业
主板,002452,长高电气,2010-07-20,"620,332,085","517,880,199",C 制造业
主板,002453,华软科技,2010-07-20,"812,367,126","643,101,478",C 制造业
主板,002454,松芝股份,2010-07-20,"879,073,680","877,353,836",C 制造业
主板,002455,百川股份,2010-08-03,"722,462,500","660,811,973",C 制造业
主板,002456,欧菲光,2010-08-03,"3,495,915,216","3,317,615,011",C 制造业
主板,002457,青龙管业,2010-08-03,"333,486,800","333,486,800",C 制造业
主板,002458,益生股份,2010-08-10,"1,431,193,039","972,384,756",A 农林牧渔
主板,002459,晶澳科技,2010-08-10,"3,309,718,149","3,306,775,283",C 制造业
主板,002460,赣锋锂业,2010-08-10,"1,613,593,699","1,211,369,263",C 制造业
主板,002461,珠江啤酒,2010-08-18,"2,213,328,480","2,213,328,480",C 制造业
主板,002462,嘉事堂,2010-08-18,"291,707,120","291,509,232",F 批发零售
主板,002463,沪电股份,2010-08-18,"1,924,363,537","1,922,851,736",C 制造业
主板,002465,海格通信,2010-08-31,"2,481,833,948","2,477,887,109",C 制造业
主板,002466,天齐锂业,2010-08-31,"1,476,959,670","1,475,868,914",C 制造业
主板,002467,二六三,2010-09-08,"1,375,371,873","1,368,201,384",I 信息技术
主板,002468,申通快递,2010-09-08,"1,530,802,166","1,474,577,961",G 运输仓储
主板,002469,三维化学,2010-09-08,"648,862,630","628,984,911",C 制造业
主板,002470,金正大,2010-09-08,"3,286,027,742","3,285,732,617",C 制造业
主板,002471,中超控股,2010-09-10,"1,368,760,000","1,344,258,951",C 制造业
主板,002472,双环传动,2010-09-10,"849,997,692","756,967,862",C 制造业
主板,002474,榕基软件,2010-09-15,"622,200,000","537,225,432",I 信息技术
主板,002475,立讯精密,2010-09-15,"7,341,807,578","7,325,077,774",C 制造业
主板,002476,新叶股份,2010-09-15,"612,000,000","612,000,000",C 制造业
主板,002478,常宝股份,2010-09-21,"900,804,228","722,869,863",C 制造业
主板,002479,富春环保,2010-09-21,"865,000,000","863,072,844",D 水电煤气
主板,002480,新筑股份,2010-09-21,"769,168,670","767,437,971",C 制造业
主板,002481,双塔食品,2010-09-21,"1,233,696,500","1,118,152,600",C 制造业
主板,002482,广田集团,2010-09-29,"3,750,962,363","3,743,709,801",E 建筑业
主板,002483,润邦股份,2010-09-29,"886,468,413","885,250,799",C 制造业
主板,002484,江海股份,2010-09-29,"850,523,941","820,470,015",C 制造业
主板,002485,ST雪发,2010-10-15,"544,000,000","544,000,000",L 商务服务
主板,002486,嘉麟杰,2010-10-15,"824,283,100","820,429,956",C 制造业
主板,002487,大金重工,2010-10-15,"637,749,349","630,920,266",C 制造业
主板,002488,金固股份,2010-10-21,"995,439,065","920,083,999",C 制造业
主板,002489,浙江永强,2010-10-21,"2,169,016,313","1,913,042,953",C 制造业
主板,002490,山东墨龙,2010-10-21,"541,722,000","541,722,000",C 制造业
主板,002491,通鼎互联,2010-10-21,"1,229,994,500","1,176,468,796",C 制造业
主板,002492,恒基达鑫,2010-11-02,"405,000,000","397,833,750",G 运输仓储
主板,002493,荣盛石化,2010-11-02,"9,989,442,254","9,362,198,504",C 制造业
主板,002494,华斯股份,2010-11-02,"377,310,718","286,770,438",C 制造业
主板,002495,佳隆股份,2010-11-02,"935,625,600","700,773,507",C 制造业
主板,002496,辉丰股份,2010-11-09,"1,507,589,677","1,181,299,484",C 制造业
主板,002497,雅化集团,2010-11-09,"1,152,562,520","1,059,587,615",C 制造业
主板,002498,汉缆股份,2010-11-09,"3,326,796,000","3,326,796,000",C 制造业
主板,002500,山西证券,2010-11-15,"3,589,771,547","3,589,771,547",J 金融业
主板,002501,*ST利源,2010-11-17,"3,550,000,000","3,545,292,606",C 制造业
主板,002506,协鑫集成,2010-11-18,"5,850,316,427","5,844,441,996",C 制造业
主板,002507,涪陵榨菜,2010-11-23,"1,153,919,028","1,153,718,438",C 制造业
主板,002508,老板电器,2010-11-23,"944,992,916","933,604,287",C 制造业
主板,002510,天汽模,2010-11-25,"1,015,138,708","1,015,096,290",C 制造业
主板,002511,中顺洁柔,2010-11-25,"1,281,138,613","1,265,003,933",C 制造业
主板,002512,ST达华,2010-12-03,"1,102,416,632","1,094,451,782",C 制造业
主板,002513,蓝丰生化,2010-12-03,"375,593,978","289,041,302",C 制造业
主板,002514,*ST宝馨,2010-12-03,"720,034,264","554,030,027",C 制造业
主板,002515,金字火腿,2010-12-03,"1,210,614,164","1,101,851,924",C 制造业
主板,002516,旷达科技,2010-12-07,"1,470,838,682","1,457,518,682",C 制造业
主板,002517,恺英网络,2010-12-07,"2,136,443,234","1,879,241,673",I 信息技术
主板,002518,科士达,2010-12-07,"582,225,094","565,152,297",C 制造业
主板,002519,银河电子,2010-12-07,"1,126,430,898","1,123,444,309",C 制造业
主板,002520,日发精机,2010-12-10,"750,245,171","717,440,171",C 制造业
主板,002521,齐峰新材,2010-12-10,"560,061,050","419,173,590",C 制造业
主板,002522,浙江众成,2010-12-10,"905,779,387","905,209,756",C 制造业
主板,002523,天桥起重,2010-12-10,"1,416,640,800","1,411,543,808",C 制造业
主板,002524,光正眼科,2010-12-17,"515,331,574","509,278,574",Q 卫生
主板,002526,山东矿机,2010-12-17,"1,782,793,836","1,771,234,438",C 制造业
主板,002527,新时达,2010-12-24,"663,061,291","558,683,731",C 制造业
主板,002528,*ST英飞,2010-12-24,"1,198,675,082","1,001,389,334",C 制造业
主板,002529,海源复材,2010-12-24,"260,000,000","259,994,450",C 制造业
主板,002530,金财互联,2010-12-31,"779,198,175","779,198,175",C 制造业
主板,002531,天顺风能,2010-12-31,"1,796,878,658","1,786,868,599",C 制造业
主板,002532,天山铝业,2010-12-31,"4,628,737,415","4,106,857,452",C 制造业
主板,002533,金杯电工,2010-12-31,"733,941,062","642,190,533",C 制造业
主板,002534,西子洁能,2011-01-10,"835,935,177","825,353,766",C 制造业
主板,002535,林州重机,2011-01-11,"801,683,074","746,337,535",C 制造业
主板,002536,飞龙股份,2011-01-11,"574,785,888","545,672,669",C 制造业
主板,002537,海联金汇,2011-01-10,"1,174,016,745","1,170,512,095",C 制造业
主板,002538,ST司特,2011-01-18,"853,555,763","853,003,388",C 制造业
主板,002539,云图控股,2011-01-18,"1,207,723,762","889,793,625",C 制造业
主板,002540,亚太科技,2011-01-18,"1,247,574,062","858,201,358",C 制造业
主板,002541,鸿路钢构,2011-01-18,"690,507,290","496,668,269",C 制造业
主板,002542,*ST中岩,2011-01-28,"1,806,116,738","1,759,240,033",E 建筑业
主板,002543,万和电气,2011-01-28,"743,600,000","661,176,201",C 制造业
主板,002544,普天科技,2011-01-28,"680,533,890","680,466,279",I 信息技术
主板,002545,东方铁塔,2011-02-11,"1,244,062,083","1,130,163,708",C 制造业
主板,002546,新联电子,2011-02-11,"834,049,096","801,227,371",C 制造业
主板,002547,*ST春兴,2011-02-18,"1,128,057,168","1,104,798,466",C 制造业
主板,002548,金新农,2011-02-18,"828,173,658","804,471,492",C 制造业
主板,002549,凯美特气,2011-02-18,"695,347,901","692,359,526",N 公共环保
主板,002550,千红制药,2011-02-18,"1,279,800,000","953,566,881",C 制造业
主板,002551,尚荣医疗,2011-02-25,"845,494,578","611,186,723",C 制造业
主板,002552,宝鼎科技,2011-02-25,"387,985,331","368,503,289",C 制造业
主板,002553,南方精工,2011-02-25,"353,409,639","256,209,639",C 制造业
主板,002554,惠博普,2011-02-25,"1,333,720,072","1,333,469,850",B 采矿业
主板,002555,三七互娱,2011-03-02,"2,212,237,681","1,633,762,624",I 信息技术
主板,002556,辉隆股份,2011-03-02,"934,940,852","934,041,003",F 批发零售
主板,002557,洽洽食品,2011-03-02,"505,855,528","503,577,853",C 制造业
主板,002558,巨人网络,2011-03-02,"1,900,561,971","1,900,554,471",I 信息技术
主板,002559,亚威股份,2011-03-03,"641,863,617","511,463,302",C 制造业
主板,002560,通达股份,2011-03-03,"735,271,675","633,345,980",C 制造业
主板,002561,徐家汇,2011-03-03,"415,763,000","414,439,567",F 批发零售
主板,002562,兄弟科技,2011-03-10,"1,142,821,917","813,577,716",C 制造业
主板,002563,森马服饰,2011-03-11,"2,694,090,160","2,232,734,480",C 制造业
主板,002564,天沃科技,2011-03-10,"858,904,477","858,887,977",C 制造业
主板,002565,顺灏股份,2011-03-18,"1,059,988,922","1,059,951,422",C 制造业
