date,open,close,high,low,volume,amount,rsi14,macd,macd_signal,macd_hist,ma5,ma10,ma20,bb_upper,bb_middle,bb_lower,atr14,vol_ma20,ma60
2026-04-02,1.858,1.823,1.862,1.81,985465,180396893.0,28.24156305506213,-0.0635175123419939,-0.0541059918043207,-0.0094115205376732,1.86,1.8487,1.9525,2.2008592474410302,1.9525,1.7041407525589696,0.0626428571428571,1751172.6,2.0212
2026-04-03,1.824,1.805,1.83,1.798,753743,136520449.0,29.66417910447757,-0.0653889921882959,-0.0563625918811157,-0.0090264003071801,1.8438000000000003,1.8443,1.93565,2.175456303415686,1.93565,1.695843696584313,0.0595714285714285,1700269.55,2.02095
2026-04-07,1.805,1.844,1.849,1.803,802933,146634250.0,38.07692307692307,-0.0629989665158738,-0.0576898668080674,-0.0053090997078064,1.8374,1.8497,1.92195,2.148852691872417,1.92195,1.6950473081275832,0.0579285714285713,1646119.65,2.021266666666667
2026-04-08,1.88,1.922,1.924,1.88,1855155,354050378.0,45.05119453924914,-0.0541862801170718,-0.0569891494698682,0.0028028693527964,1.8526,1.8595,1.911,2.113183866293717,1.911,1.7088161337062835,0.0600714285714285,1675057.2,2.0222
2026-04-09,1.901,1.935,1.952,1.898,1776038,343847991.0,54.74308300395258,-0.0456272092334852,-0.0547167614225916,0.0090895521891064,1.8658,1.8654,1.9017,2.078762700758804,1.9017,1.7246372992411956,0.0564999999999999,1710832.6,2.022483333333333
2026-04-10,1.948,1.946,1.969,1.937,1239863,241466663.0,60.12526096033404,-0.0375239233932569,-0.0512781938167247,0.0137542704234678,1.8904,1.8752,1.89325,2.041187219970613,1.89325,1.745312780029387,0.0548571428571428,1623959.25,2.0218666666666665
2026-04-13,1.955,1.968,1.978,1.947,1054091,206763691.0,70.13574660633486,-0.0289925863572575,-0.0468210723248313,0.0178284859675737,1.923,1.8834,1.88825,2.0168094271758843,1.88825,1.7596905728241157,0.0509999999999999,1579884.0,2.02205
2026-04-14,1.977,1.974,1.986,1.944,1172096,229540621.0,68.11594202898553,-0.0214994580657221,-0.0417567494730094,0.0202572914072873,1.949,1.8932,1.8858,2.0050795919369016,1.8858,1.766520408063099,0.0489285714285713,1487826.9,2.0210666666666666
2026-04-15,1.976,1.937,1.991,1.929,1287575,252559364.0,57.64411027568926,-0.0183353323892687,-0.0370724660562613,0.0187371336669925,1.952,1.9023,1.88425,1.9997787615135048,1.88425,1.7687212384864957,0.0494999999999999,1465459.75,2.0176333333333334
2026-04-16,1.94,1.981,1.986,1.94,1732019,340786977.0,66.02409638554218,-0.0121373953790642,-0.0320854519208219,0.0199480565417577,1.9612,1.9135,1.8843,2.0000039780055894,1.8843,1.7685960219944108,0.0498571428571428,1483618.15,2.0164333333333335
2026-04-17,1.982,2.0,2.007,1.972,1349475,269642566.0,64.39393939393942,-0.0056274744123336,-0.0267938564191242,0.0211663820067905,1.972,1.9312,1.88995,2.016716216651806,1.88995,1.7631837833481945,0.0462857142857142,1445548.95,2.0159000000000002
2026-04-20,2.0,2.051,2.059,1.983,2922711,592351827.0,70.02288329519455,0.0036053978483507,-0.0207140055656292,0.02431940341398,1.9886,1.9558,1.90005,2.044090162527868,1.90005,1.7560098374721325,0.0485714285714285,1512244.5,2.01655
2026-04-21,2.047,2.036,2.047,2.016,1471214,298747137.0,72.51184834123221,0.0096014613249744,-0.0146509121875085,0.0242523735124829,2.001,1.975,1.91235,2.058814689475517,1.91235,1.765885310524483,0.0478571428571428,1432587.8,2.016766666666667
2026-04-22,2.021,2.039,2.043,2.014,1280653,260113679.0,71.14427860696517,0.0144291297317309,-0.0088349038036606,0.0232640335353915,2.0214000000000003,1.9867,1.9231,2.0737615586775853,1.9231,1.7724384413224143,0.0475,1357935.4,2.0168500000000003
